L_inducer,a_inducer,b_inducer,R_inducer,G_inducer,B_inducer
80,127,0,255,0,206
80,90,90,255,98,12
80,0,127,230,196,0
80,-90,90,0,235,0
80,-127,0,0,246,194
80,-90,-90,0,242,255
80,0,-127,0,209,255
80,90,-90,255,117,255
